Gene,HCs_spec,Macula.SCs_spec,Crista.SCs_spec
metap2b_si:dkey-102m7.3,0.991803279,0.997460317,0.991803279
dkc1_tspo,1,0.998730159,0.998730159
dkc1_rsl1d1,1,1,1
dkc1_wdr76,1,1,1
dkc1_eif6,0.983606557,0.991746032,0.983606557
dkc1_prdx6,0.991304348,0.991304348,0.997460317
dkc1_ebna1bp2,0.991803279,0.998095238,0.991803279
dkc1_si:ch211-217k17.7,1,1,1
cox17_dkc1,1,0.98984127,0.98984127
dkc1_nhp2,0.991803279,0.996825397,0.991803279
dkc1_prps1a,0.991803279,0.996825397,0.991803279
dkc1_fbl,0.991803279,0.997460317,0.991803279
dkc1_gnl3,1,0.999365079,0.999365079
dkc1_phb,1,0.997460317,0.997460317
dkc1_npm1a,0.983606557,0.991304348,0.983606557
dkc1_si:ch211-66k16.27,1,0.998730159,0.998730159
dkc1_rpl7l1,0.991304348,0.991304348,1
dkc1_gar1,1,1,1
dkc1_nip7,1,0.999365079,0.999365079
aldob_dkc1,1,1,1
dkc1_metap2b,1,0.994285714,0.994285714
rsl1d1_tspo,1,0.998730159,0.998730159
tspo_wdr76,1,1,1
eif6_tspo,0.991803279,0.995555556,0.991803279
prdx6_tspo,1,0.999365079,0.999365079
ebna1bp2_tspo,1,1,1
si:ch211-217k17.7_tspo,1,1,1
cox17_tspo,1,0.994920635,0.994920635
nhp2_tspo,1,0.999365079,0.999365079
prps1a_tspo,1,0.997460317,0.997460317
fbl_tspo,1,0.998730159,0.998730159
gnl3_tspo,1,1,1
phb_tspo,1,0.999365079,0.999365079
npm1a_tspo,1,0.999365079,0.999365079
si:ch211-66k16.27_tspo,1,1,1
rpl7l1_tspo,1,1,1
gar1_tspo,1,1,1
nip7_tspo,1,0.997460317,0.997460317
aldob_tspo,1,1,1
metap2b_tspo,0.991803279,0.999365079,0.991803279
rsl1d1_wdr76,1,1,1
eif6_rsl1d1,1,0.99047619,0.99047619
prdx6_rsl1d1,1,0.996825397,0.996825397
ebna1bp2_rsl1d1,1,0.998730159,0.998730159
rsl1d1_si:ch211-217k17.7,1,0.999365079,0.999365079
cox17_rsl1d1,0.991803279,0.996190476,0.991803279
nhp2_rsl1d1,1,0.998730159,0.998730159
prps1a_rsl1d1,1,0.996190476,0.996190476
