Gene,DifferentiatingProgenitors_44hpf,DorsalProgenitors_24hpf,Epidermis,FloorPlate,GlialCells,HeadMesenchymeAndEpidermis,HindbrainNeurons,ImmatureNeurons,Mesendoderm_16hpf_24hpf,NeuralCrest_16hpf,NeuralCrest_24hpf_44hpf,OticAndCranialGanglia,OticVesicle,PharyngealArches,Progenitors_16hpf,Vasculature,VMP_24hpf
kri1,0.021689498,0.203583062,0.093457944,0.180327869,0.044117647,0.114705882,0.024549918,0.005471956,0.341573034,0.461009174,0.201244813,0.125,0.2375,0.275510204,0.358974359,0.107142857,0.160237389
spc24,0.066210046,0.465798046,0.186915888,0.262295082,0.123529412,0.241176471,0.008183306,0.002735978,0.626966292,0.525229358,0.269709544,0.134615385,0.404166667,0.476190476,0.728774929,0.428571429,0.43620178
s1pr5a,0.005707763,0.024429967,0.046728972,0.06557377,0.001960784,0.114705882,0.001636661,0,0.352808989,0.233944954,0.078838174,0.016025641,0.270833333,0.112244898,0.09002849,0.428571429,0.010385757
zgc:123297,0,0,0.009345794,0,0,0,0,0,0.002247191,0.006880734,0,0.003205128,0.004166667,0.010204082,0.002279202,0,0.00148368
PDE6H,0,0,0,0,0,0,0,0,0.004494382,0,0.002074689,0,0,0,0,0,0.00148368
CU571315.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003401361,0,0,0
CU571315.3,0.001141553,0,0.009345794,0,0.003921569,0.002941176,0.003273322,0.002735978,0.038202247,0.020642202,0,0.009615385,0.016666667,0.010204082,0.023931624,0.035714286,0.002967359
CU571315.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zgc:163079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rprml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itgb3a,0,0,0,0,0,0,0,0,0,0,0,0,0.008333333,0,0,0,0
mettl2a,0.037671233,0.146579805,0.158878505,0.147540984,0.052941176,0.055882353,0.034369885,0.020519836,0.26741573,0.321100917,0.139004149,0.060897436,0.220833333,0.183673469,0.263817664,0.107142857,0.158753709
tlk2,0.074200913,0.11237785,0.140186916,0.131147541,0.057843137,0.047058824,0.106382979,0.053351573,0.157303371,0.151376147,0.097510373,0.086538462,0.1875,0.115646259,0.165242165,0.107142857,0.132047478
MRC2,0,0.001628664,0,0,0,0,0.001636661,0,0.017977528,0.002293578,0.006224066,0,0.004166667,0,0.003988604,0,0.00148368
BX572620.2,0,0,0,0,0,0,0.001636661,0,0,0,0,0,0,0,0,0,0
rnd2,0.010273973,0.058631922,0.009345794,0.180327869,0.015686275,0,0.004909984,0.004103967,0.020224719,0.018348624,0.006224066,0.003205128,0,0.006802721,0.051282051,0,0.109792285
vat1,0.228310502,0.359934853,0.130841121,0,0.124509804,0.067647059,0.392798691,0.277701778,0.08988764,0.041284404,0.099585062,0.121794872,0.091666667,0.068027211,0.193162393,0.357142857,0.412462908
si:busm1-163l24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asb16,0,0,0,0,0,0,0,0,0,0,0.002074689,0,0,0.003401361,0.000569801,0.035714286,0
tmub2,0.012557078,0.008143322,0.018691589,0,0.007843137,0.005882353,0.022913257,0.010943912,0.033707865,0.055045872,0.01659751,0.025641026,0.041666667,0.027210884,0.030769231,0.142857143,0.017804154
atxn7l3,0.001141553,0.001628664,0,0,0,0.002941176,0.001636661,0.001367989,0.004494382,0.004587156,0.002074689,0,0,0.006802721,0.002279202,0.035714286,0
ubtf,0.219178082,0.478827362,0.214953271,0.327868852,0.214705882,0.232352941,0.31096563,0.233926129,0.48988764,0.419724771,0.300829876,0.333333333,0.441666667,0.43537415,0.506552707,0.428571429,0.486646884
BX088544.1,0.005707763,0.009771987,0,0,0.003921569,0.008823529,0.006546645,0.004103967,0.020224719,0.018348624,0.002074689,0.003205128,0.020833333,0.010204082,0.019373219,0,0.008902077
slc4a1a,0,0.001628664,0,0,0.000980392,0.002941176,0.003273322,0.001367989,0,0,0.018672199,0,0,0,0.001139601,0,0
sepw2b,0.002283105,0.001628664,0.308411215,0,0.000980392,0,0,0.004103967,0,0,0.006224066,0,0.016666667,0,0.000569801,0,0.004451039
sepw2a,0.374429224,0.573289902,0.588785047,0.606557377,0.332352941,0.214705882,0.461538462,0.340629275,0.613483146,0.635321101,0.329875519,0.419871795,0.6125,0.591836735,0.618233618,0.535714286,0.590504451
ngfra,0.001141553,0,0.009345794,0,0.001960784,0.005882353,0.026186579,0,0.008988764,0.002293578,0.01659751,0.03525641,0.004166667,0,0.001139601,0,0
nxph3,0.002283105,0.001628664,0,0,0,0,0.001636661,0,0,0,0,0,0,0,0.001709402,0,0.00148368
spop,0.057077626,0.115635179,0.074766355,0.049180328,0.076470588,0.055882353,0.109656301,0.034199726,0.103370787,0.123853211,0.066390041,0.083333333,0.1375,0.12244898,0.15042735,0.107142857,0.112759644
BX936284.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndufa4l,0.681506849,0.964169381,0.878504673,0.901639344,0.823529412,0.914705882,0.759410802,0.612859097,0.95505618,0.97706422,0.898340249,0.862179487,0.966666667,0.959183673,0.974358974,1,0.954005935
slc35b1,0.058219178,0.133550489,0.196261682,0.163934426,0.049019608,0.147058824,0.060556465,0.025991792,0.141573034,0.167431193,0.136929461,0.134615385,0.279166667,0.176870748,0.116809117,0.142857143,0.103857567
fam117aa,0.053652968,0.105863192,0.037383178,0.098360656,0.091176471,0.041176471,0.019639935,0.025991792,0.078651685,0.089449541,0.074688797,0.057692308,0.095833333,0.088435374,0.087749288,0.071428571,0.091988131
rundc3aa,0.001141553,0,0,0,0,0,0.006546645,0,0,0.004587156,0,0,0,0,0.001139601,0,0
fam57ba,0.099315068,0.061889251,0.009345794,0.06557377,0.045098039,0.029411765,0.191489362,0.098495212,0.04494382,0.059633028,0.033195021,0.099358974,0.041666667,0.037414966,0.084900285,0,0.099406528
nlk1,0.371004566,0.389250814,0.196261682,0.360655738,0.310784314,0.170588235,0.384615385,0.317373461,0.350561798,0.362385321,0.201244813,0.301282051,0.354166667,0.306122449,0.39031339,0.214285714,0.387240356
maza,0.01826484,0.013029316,0.028037383,0.049180328,0.012745098,0.032352941,0.093289689,0.030095759,0.051685393,0.03440367,0.033195021,0.032051282,0.045833333,0.040816327,0.012535613,0.071428571,0.013353116
larsa,0.001141553,0.003257329,0.009345794,0.032786885,0.002941176,0.008823529,0.004909984,0.004103967,0.033707865,0.02293578,0.008298755,0.012820513,0.0125,0.017006803,0.021652422,0.071428571,0.008902077
cdipt,0.02283105,0.068403909,0.261682243,0.196721311,0.015686275,0.108823529,0.168576105,0.032831737,0.170786517,0.268348624,0.06846473,0.073717949,0.204166667,0.12244898,0.107692308,0.464285714,0.065281899
taok2a,0.079908676,0.136807818,0.102803738,0.032786885,0.083333333,0.094117647,0.106382979,0.079343365,0.134831461,0.188073394,0.095435685,0.144230769,0.183333333,0.105442177,0.188603989,0.178571429,0.136498516
zgc:123295,0,0,0.102803738,0,0,0,0,0,0.002247191,0,0,0,0,0.003401361,0,0,0
zgc:112038,0,0,0.140186916,0,0,0,0,0.001367989,0,0,0,0,0,0,0.001139601,0,0
