Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
sort1b,0.027070577,0.013493555,0.101873151,0.00669344,0.101549755,0.027160494,0.036421219,0.006833713,0.058383234,0.170588235
sypl2b,0.000966806,0.000537057,0.003943477,0.048192771,0.000815661,0.019753086,0.002375297,0.002277904,0.19760479,0.323529412
atxn7l2b,0.042861747,0.024167562,0.039434768,0.018741633,0.02324633,0.036213992,0.06175772,0.020501139,0.034431138,0.064705882
amigo1,0.042861747,0.008928571,0.001643115,0.001338688,0.001223491,0.004938272,0.04908947,0.004555809,0.004491018,0.011764706
gnai3,0.005800838,0.001745435,0.013802169,0.026773762,0.001631321,0.172839506,0.0253365,0.002277904,0.035928144,0.029411765
gpr61,0.001611344,0.000201396,0,0,0,0.000823045,0.002375297,0,0,0
gnat2,0.193683532,0.175080559,0.926388432,0.145917001,0.168433931,0.217283951,0.200316706,0.282460137,0.223053892,0.158823529
ampd2b,0.10248147,0.082371106,0.046993099,0.017402945,0.117455139,0.050205761,0.096595408,0.059225513,0.031437126,0.076470588
gstm.1,0.119239446,0.020810956,0.139993428,0.195448461,0.049755302,0.232098765,0.232779097,0.020501139,0.291916168,0.423529412
gstm.2,0.002255881,0.000671321,0.005586592,0.014725569,0.000815661,0.049382716,0.002375297,0,0.119760479,0.117647059
gstm.3,0.001933613,0.000671321,0.000985869,0.004016064,0.00040783,0,0.002375297,0.002277904,0.008982036,0.1
eps8l3b,0.002255881,0.000335661,0,0.001338688,0.014274062,0.002469136,0.000791766,0,0,0.005882353
atp5pb,0.371253626,0.260741139,0.521524811,0.485943775,0.336052202,0.480658436,0.51543943,0.166287016,0.553892216,0.723529412
CR847543.2,0,0,0,0,0,0,0,0,0,0
CR847543.1,0,0.000134264,0.000657246,0,0,0,0.000791766,0,0,0.011764706
dnase1l1l,0.000322269,0.001208378,0.001971738,0.001338688,0.003262643,0,0.000791766,0,0.002994012,0
si:dkey-183p4.10,0.000322269,6.71E-05,0.000328623,0,0.001631321,0,0,0,0,0.023529412
kcnq2a,0.00257815,0.000805585,0.003614854,0.004016064,0.090130506,0.009053498,0.011084719,0.002277904,0.00748503,0.017647059
prex1,0.022558814,0.005974758,0.035162668,0.064257028,0.003262643,0.376131687,0.034045922,0.01594533,0.035928144,0.288235294
stk38a,0.004189494,0.003960795,0.020703253,0.00669344,0.006933116,0.014814815,0.01266825,0.006833713,0.016467066,0.082352941
slc38a5a,0.024814695,0.017588614,0.6638186,0.02811245,0.017128874,0.035390947,0.026128266,0.143507973,0.041916168,0.1
wasa,0.000322269,0.000335661,0.014788038,0.002677376,0.00040783,0.001646091,0.000791766,0.002277904,0.002994012,0.464705882
sema3ga,0.001289075,0.000402793,0.000328623,0.004016064,0,0.000823045,0.037212985,0.002277904,0.028443114,0.005882353
tspy,0.091524331,0.058539205,0.092014459,0.078982597,0.088091354,0.079012346,0.123515439,0.043280182,0.101796407,0.094117647
foxp3a,0.001933613,0.000335661,0.019717384,0.002677376,0,0,0,0.002277904,0.01497006,0
BX544876.1,0.000322269,0.000537057,0.080512652,0.002677376,0,0.004115226,0.003958828,0.006833713,0.00748503,0.005882353
si:ch211-167b20.8,0.058330648,0.0183942,0.117647059,0.021419009,0.024877651,0.050205761,0.106096595,0.034168565,0.028443114,0.011764706
suv39h1b,0.000644538,0.000604189,0.001314492,0.004016064,0.00040783,0.002469136,0.001583531,0,0.001497006,0
tmem9,0.035127296,0.013762084,0.044035491,0.00669344,0.022430669,0.010699588,0.066508314,0.018223235,0.05988024,0
cacna1sb,0.000322269,6.71E-05,0,0,0.00040783,0,0,0,0.001497006,0
taf10,0.082500806,0.032559076,0.091685836,0.151271754,0.055464927,0.130041152,0.127474268,0.029612756,0.20508982,0.194117647
efhd2,0.19690622,0.051288937,0.139664804,0.09772423,0.039151713,0.160493827,0.1797308,0.059225513,0.359281437,0.4
opn7c,0.00257815,0,0,0,0,0,0.000791766,0,0,0
tmem115,0.067676442,0.034304511,0.11238909,0.100401606,0.088091354,0.079012346,0.131433096,0.011389522,0.146706587,0.105882353
rhoab,0.251369642,0.182465091,0.619125863,0.444444444,0.310766721,0.341563786,0.529691211,0.13667426,0.47005988,0.688235294
sema3h,0.002900419,0.000402793,0,0.001338688,0,0,0.007917656,0,0,0
si:dkey-72l14.4,0.035771834,0.017991407,0.048964837,0.033467202,0.02324633,0.035390947,0.06175772,0.027334852,0.121257485,0.147058824
si:dkey-72l14.3,0.004511763,0.007183136,0.199474203,0.010709505,0.003670473,0.008230453,0.002375297,0.006833713,0.019461078,0.023529412
xpc,0.276506607,0.115668636,0.413736444,0.219544846,0.065660685,0.169547325,0.362628662,0.079726651,0.353293413,0.147058824
arih2,0.162101192,0.186895811,0.368057838,0.139223561,0.164355628,0.13909465,0.26682502,0.113895216,0.19760479,0.152941176
impdh2,0.024492427,0.003893663,0.027604338,0.081659973,0.007340946,0.039506173,0.044338876,0.009111617,0.040419162,0.094117647
dalrd3,0.06832098,0.019266917,0.020703253,0.038821954,0.187194127,0.043621399,0.176563737,0.022779043,0.028443114,0.052941176
celsr3,0.045117628,0.022153598,0.009201446,0.002677376,0.009380098,0.013168724,0.085510689,0.004555809,0.020958084,0
CR847503.1,0,0.000268528,0.000657246,0,0.00040783,0.000823045,0.000791766,0,0,0
wdr6,0.007412182,0.004833512,0.009201446,0.024096386,0.004078303,0.017283951,0.010292953,0.004555809,0.020958084,0.017647059
slc26a6,0,0,0,0,0,0.000823045,0,0,0.001497006,0
slc26a6.1,0.000322269,6.71E-05,0.000328623,0,0,0,0,0,0.002994012,0
mgll,0.022236545,0.007183136,0.046993099,0.038821954,0.072593801,0.195061728,0.098178939,0.009111617,0.300898204,0.029411765
prkar2aa,0.108282307,0.028396885,0.244824187,0.093708166,0.043230016,0.153909465,0.212984956,0.045558087,0.260479042,0.176470588
CR847503.2,0.000966806,6.71E-05,0.002300361,0,0.00040783,0.000823045,0.001583531,0,0,0
naa80,0.001289075,0.000335661,0.000657246,0.002677376,0.00040783,0.003292181,0,0.004555809,0.004491018,0
hyal3,0.000644538,0.000738453,0.000985869,0.00669344,0.002039152,0,0.003958828,0,0.00748503,0.047058824
si:dkey-20d21.12,0.000322269,6.71E-05,0.000985869,0.001338688,0,0.000823045,0,0,0.002994012,0
amt,0.004511763,0.00349087,0.0170884,0.018741633,0.002446982,0.064197531,0.007917656,0.004555809,0.086826347,0.011764706
ifrd2,0.03673864,0.012486574,0.03746303,0.038821954,0.009380098,0.071604938,0.033254157,0.009111617,0.089820359,0.135294118
CR450777.1,0.001289075,0.000537057,0.001971738,0,0,0.002469136,0.001583531,0,0,0
zgc:136971,0.013535288,0.005840494,0.042720999,0.005354752,0.004486134,0.005761317,0.007917656,0.004555809,0.026946108,0
sema3bl,0.003544956,0.000201396,0.000328623,0.048192771,0,0.002469136,0.007125891,0,0.040419162,0.005882353
sema3b,0.000966806,0.000335661,0.000657246,0.001338688,0.001223491,0.001646091,0.030087094,0,0.062874251,0
tmem51a,0,0,0,0.022757697,0.00040783,0.001646091,0.000791766,0,0,0.017647059
si:dkey-159f12.2,0.173058331,0.061157358,0.201774565,0.542168675,0.096247961,0.223045267,0.263657957,0.082004556,0.387724551,0.494117647
kazna,0.051885272,0.003893663,0.014130792,0.008032129,0.01141925,0.01563786,0.087885986,0,0.004491018,0
si:ch211-156j16.1,0,0.000201396,0.000328623,0.041499331,0,0.000823045,0,0,0.005988024,0
prdm2a,0.061231067,0.006914608,0.017745646,0.008032129,0.020391517,0.017283951,0.086302454,0.022779043,0.004491018,0.005882353
rimkla,0.256848211,0.178235768,0.156753204,0.096385542,0.133360522,0.185185185,0.331749802,0.082004556,0.101796407,0.123529412
zmynd12,0.000644538,0.000335661,0.000657246,0.001338688,0,0.001646091,0.000791766,0,0.001497006,0
slc16a1b,0.022236545,0.002953813,0.038120276,0.143239625,0.004893964,0.387654321,0.020585907,0.004555809,0.025449102,0.088235294
CR847799.1,0.000322269,0.000134264,0,0,0,0,0,0,0,0
CR376741.2,0.000644538,6.71E-05,0.000328623,0.001338688,0.000815661,0,0.001583531,0,0,0
CR376741.5,0,0,0,0,0,0,0,0,0,0
CR376741.4,0,0,0,0,0,0,0,0,0,0.005882353
CR376741.1,0.000966806,0.000201396,0.000328623,0,0.000815661,0.000823045,0,0,0.004491018,0
