Gene,Crista.SCs_spec,HCs_spec,Macula.SCs_spec
bokb,1.0,0.991304348,0.991304348
traj2,1.0,1.0,1.0
kcnab1b,0.983606557,0.982608696,0.982608696
CR388040.1,1.0,1.0,1.0
ndc1,0.921269841,0.983606557,0.921269841
rab3aa,0.965714286,0.991304348,0.965714286
si:ch1073-82l19.1,0.991111111,1.0,0.991111111
pik3r3a,0.84952381,0.843478261,0.843478261
dusp22b,0.968888889,0.982608696,0.968888889
kdsr,0.952380952,0.92173913,0.92173913
ddr2b,0.997460317,1.0,0.997460317
bag1,0.960634921,0.956521739,0.956521739
si:dkey-161l11.75,1.0,1.0,1.0
si:dkey-149i17.7,1.0,1.0,1.0
dvl3a,0.918032787,0.904347826,0.904347826
zgc:161973,0.999365079,0.991304348,0.991304348
myl12.2,0.842539683,0.947826087,0.842539683
traj3,1.0,1.0,1.0
traj4,1.0,1.0,1.0
traj5,0.999365079,1.0,0.999365079
thap4,0.983606557,0.983606557,0.993015873
zgc:113531,0.959016393,0.939130435,0.939130435
ftr23,0.996190476,0.991304348,0.991304348
ftr25,0.999365079,1.0,0.999365079
acvr1l,0.917460317,0.973913043,0.917460317
agxtb,1.0,1.0,1.0
ftr24,0.996190476,1.0,0.996190476
dlgap1a,0.5796825400000001,0.950819672,0.5796825400000001
copa,0.859047619,0.926229508,0.859047619
si:dkey-161l11.62,1.0,1.0,1.0
zgc:113691,0.975873016,1.0,0.975873016
nebl,0.999365079,1.0,0.999365079
vav3b.1,0.993015873,1.0,0.993015873
cdc7,0.999365079,1.0,0.999365079
traj6,1.0,1.0,1.0
apoda.2,1.0,1.0,1.0
xpr1b,0.721269841,0.869565217,0.721269841
BX681417.8,1.0,1.0,1.0
si:dkey-161l11.76,1.0,1.0,1.0
pask,0.994285714,1.0,0.994285714
traj7,1.0,1.0,1.0
apoda.1,0.999365079,1.0,0.999365079
BX681417.17,1.0,1.0,1.0
BX681417.16,1.0,1.0,1.0
vps4b,0.898412698,0.918032787,0.898412698
ghrhra,0.98984127,0.991803279,0.98984127
TPGS1,0.88952381,0.959016393,0.88952381
saga,0.996190476,0.991304348,0.991304348
yipf1,0.975409836,0.975409836,0.991746032
si:dkeyp-68b7.7,0.994920635,1.0,0.994920635
si:dkeyp-68b7.7.1,0.977142857,1.0,0.977142857
plekhj1,0.85015873,0.930434783,0.85015873
si:dkey-185p13.1,0.983606557,0.982608696,0.982608696
si:dkey-149i17.9,1.0,1.0,1.0
BX681417.10,1.0,1.0,1.0
traj11,1.0,1.0,1.0
traj31,1.0,1.0,1.0
BX681417.7,1.0,1.0,1.0
ftr26,0.999365079,1.0,0.999365079
si:dkey-31m5.3,1.0,1.0,1.0
atp6v0b,0.848888889,0.947826087,0.848888889
b4galt2,0.264126984,0.695652174,0.264126984
si:dkey-149i17.8,1.0,1.0,1.0
ptf1a,1.0,1.0,1.0
si:dkey-31m5.2,1.0,1.0,1.0
cldn15la,0.998730159,1.0,0.998730159
oc90,0.8278688519999999,0.67826087,0.67826087
AL845362.1,0.998730159,1.0,0.998730159
si:dkey-149i17.11,1.0,1.0,1.0
si:dkey-188g12.1,0.977142857,1.0,0.977142857
traj39,1.0,1.0,1.0
si:ch211-249o11.5,0.998730159,1.0,0.998730159
BX681417.9,1.0,1.0,1.0
BX681417.5,1.0,1.0,1.0
BX681417.12,1.0,1.0,1.0
traj10,1.0,1.0,1.0
BX681417.23,1.0,1.0,1.0
BX681417.13,1.0,1.0,1.0
traj43,1.0,1.0,1.0
traj26,1.0,1.0,1.0
traj45,1.0,1.0,1.0
BX681417.19,1.0,1.0,1.0
traj54,1.0,1.0,1.0
traj51,1.0,1.0,1.0
si:dkey-161l11.79,1.0,1.0,1.0
BX681417.26,1.0,1.0,1.0
BX681417.11,1.0,1.0,1.0
BX681417.20,1.0,1.0,1.0
si:dkey-161l11.78,1.0,1.0,1.0
traj55,1.0,1.0,1.0
traj57,1.0,1.0,1.0
BX681417.18,1.0,1.0,1.0
CT867973.1,1.0,1.0,1.0
traj15,1.0,1.0,1.0
traj56,1.0,1.0,1.0
si:ch1073-170o4.1,0.983606557,0.983606557,0.991304348
traj46,1.0,1.0,1.0
traj42,1.0,1.0,1.0
traj18,1.0,1.0,1.0
BX681417.21,1.0,1.0,1.0
traj28,1.0,1.0,1.0
traj59,1.0,1.0,1.0
traj58,1.0,1.0,1.0
BX681417.6,1.0,1.0,1.0
traj32,1.0,1.0,1.0
traj23,1.0,1.0,1.0
traj37,1.0,1.0,1.0
traj41,1.0,1.0,1.0
traj60,1.0,1.0,1.0
BX681417.22,1.0,1.0,1.0
col15a1b,0.860655738,0.843478261,0.843478261
BX681417.14,1.0,1.0,1.0
traj21,1.0,1.0,1.0
CT867973.2,1.0,1.0,1.0
BX681417.4,1.0,1.0,1.0
traj17,1.0,1.0,1.0
traj35,1.0,1.0,1.0
traj44,1.0,1.0,1.0
traj12,1.0,1.0,1.0
traj47,1.0,1.0,1.0
BX681417.15,1.0,1.0,1.0
traj22,1.0,1.0,1.0
agtr1a,1.0,1.0,1.0
iba57,0.991746032,0.991304348,0.991304348
znf622,0.976507937,1.0,0.976507937
ripk1l,0.995555556,1.0,0.995555556
CU633991.2,0.998730159,0.982608696,0.982608696
d2hgdh,0.979047619,0.982608696,0.979047619
jmjd4,0.986666667,0.991304348,0.986666667
ftr19,0.975238095,0.991304348,0.975238095
snap47,0.983606557,0.983606557,0.987936508
crfb16,0.998730159,1.0,0.998730159
pip4k2ab,0.970793651,0.991304348,0.970793651
hltf,0.975409836,0.975409836,0.982222222
AL953893.1,0.999365079,1.0,0.999365079
vcam1a,0.996190476,1.0,0.996190476
cdc14aa,0.846349206,0.965217391,0.846349206
myom1a,0.918730159,0.991304348,0.918730159
fzd8b,0.991803279,0.991304348,0.991304348
gyg1a,0.972698413,0.975409836,0.972698413
selenoj,0.962539683,0.991803279,0.962539683
ubtfl,0.886984127,0.869565217,0.869565217
eef1da,0.87704918,0.869565217,0.869565217
klf6b,0.998730159,1.0,0.998730159
MTERF4,0.983606557,0.983606557,0.984126984
cyp8b1,1.0,1.0,1.0
si:ch211-241e1.5,0.983606557,0.983606557,0.991111111
nmur1b,0.997460317,1.0,0.997460317
si:dkey-31m5.5,1.0,1.0,1.0
CT737196.1,1.0,1.0,1.0
tceanc2,0.997460317,1.0,0.997460317
bmi1b,0.964444444,0.991304348,0.964444444
si:ch211-207d6.2,0.997460317,0.991304348,0.991304348
pcyt1aa,0.967213115,0.956521739,0.956521739
cfap57,0.428571429,0.93442623,0.428571429
si:dkeyp-68b7.5,0.94031746,0.939130435,0.939130435
klhl24a,0.791111111,0.817391304,0.791111111
cyp8b2,1.0,1.0,1.0
cyp8b3,0.999365079,1.0,0.999365079
pitrm1,0.962539683,0.965217391,0.962539683
kcnq3,0.897777778,0.983606557,0.897777778
pbx1a,0.38857142899999997,0.721311475,0.38857142899999997
si:dkey-31m5.5.1,1.0,1.0,1.0
si:dkey-31m5.5.2,1.0,1.0,1.0
cx47.1,0.991746032,0.991803279,0.991746032
