Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
chgb_srrm4,0.000102249,0.001251564,0.003881988,0,0.039044731,0,0.002314815,0,0
dtnbp1a_srrm4,0.005316973,0.003754693,0.023291925,0.002893254,0.052691433,0.002242152,0.006944444,0.002569373,0
lmo4b_srrm4,0.016155419,0.025031289,0.036490683,0.003350084,0.084533738,0.002242152,0.013888889,0.007708119,0.005328597
gad2_srrm4,0.003783231,0.002503129,0.029503106,0,0.094010614,0,0.016203704,0.002569373,0
kctd15a_srrm4,0.003271984,0.002503129,0.022515528,0.000304553,0.041698256,0,0.009259259,0.002055498,0
dtnbp1b_srrm4,0.000102249,0,0.017080745,0,0.041698256,0,0.002314815,0,0.001776199
prdm13_srrm4,0.00398773,0.002503129,0.013975155,0.00045683,0.031842305,0,0.006944444,0.003083248,0
rims2a_srrm4,0.001022495,0.003754693,0.022515528,0,0.06444276,0.002242152,0.009259259,0.001027749,0
kcnab1b_srrm4,0.000102249,0,0.013198758,0,0.03525398,0,0.002314815,0,0
slc18a3a_srrm4,0.000102249,0,0.01552795,0,0.036391205,0,0.009259259,0.001027749,0
gbx2_meis2a,0.001431493,0,0.020962733,0.000609106,0.082259287,0,0.011574074,0.001027749,0.003552398
meis2a_tspan18b,0.005725971,0.007509387,0.058229814,0.002131871,0.139499621,0.004484305,0.00462963,0.003597122,0.003552398
chgb_meis2a,0.000102249,0,0.006987578,0,0.078468537,0.002242152,0.00462963,0,0
dtnbp1a_meis2a,0.001635992,0.001251564,0.055124224,0.003350084,0.081880212,0.002242152,0,0.000513875,0
lmo4b_meis2a,0.007055215,0.013767209,0.10636646,0.008527486,0.20318423,0.006726457,0.020833333,0.003083248,0.003552398
gad2_meis2a,0.002249489,0.001251564,0.055124224,0,0.191432904,0,0.013888889,0.002569373,0.001776199
kctd15a_meis2a,0.00204499,0.001251564,0.038043478,0.00045683,0.092115239,0.002242152,0.009259259,0.002569373,0
dtnbp1b_meis2a,0,0,0.028726708,0,0.070887036,0,0.002314815,0.000513875,0
meis2a_prdm13,0.002453988,0.002503129,0.019409938,0,0.058756634,0,0.013888889,0.001541624,0
meis2a_rims2a,0.000511247,0.001251564,0.051242236,0,0.108794541,0,0.006944444,0.001027749,0
kcnab1b_meis2a,0,0.001251564,0.020962733,0,0.045489007,0,0.00462963,0,0
meis2a_slc18a3a,0.000102249,0,0.022515528,0,0.051175133,0.004484305,0,0.000513875,0
gbx2_tspan18b,0.000817996,0.001251564,0.00931677,0.001370489,0.028809704,0,0,0.002055498,0.003552398
chgb_gbx2,0,0,0.001552795,0,0.012509477,0,0.002314815,0,0
dtnbp1a_gbx2,0.000715746,0,0.007763975,0.001522765,0.028809704,0,0,0,0
gbx2_lmo4b,0.002249489,0.002503129,0.01552795,0.003045531,0.06747536,0,0.011574074,0.002569373,0.003552398
gad2_gbx2,0.000613497,0,0.013198758,0,0.054965883,0,0.009259259,0.001027749,0.003552398
gbx2_kctd15a,0.000715746,0,0.004658385,0.001370489,0.028809704,0,0.002314815,0.001027749,0
dtnbp1b_gbx2,0,0,0.00621118,0.000152277,0.025777104,0,0,0,0
gbx2_prdm13,0.000511247,0,0.007763975,0,0.03222138,0.002242152,0.011574074,0,0
gbx2_rims2a,0.000102249,0.001251564,0.008540373,0,0.034116755,0,0.002314815,0,0
gbx2_kcnab1b,0,0,0.00310559,0.000152277,0.016300227,0,0.002314815,0.000513875,0
gbx2_slc18a3a,0,0,0.002329193,0,0.009097801,0,0,0.000513875,0
chgb_tspan18b,0.000306748,0.001251564,0.00310559,0,0.034116755,0.002242152,0,0,0
dtnbp1a_tspan18b,0.004396728,0.003754693,0.027950311,0.008527486,0.055344958,0.00896861,0,0.001541624,0.001776199
lmo4b_tspan18b,0.01206544,0.021276596,0.054347826,0.014770824,0.110689917,0.015695067,0.009259259,0.010791367,0.005328597
gad2_tspan18b,0.00204499,0.001251564,0.029503106,0.000152277,0.087945413,0.002242152,0.002314815,0.002055498,0.003552398
