Gene,Crista.SCs,HCs,Macula.SCs,max,maxcol
si:dkey-65b13.1,0.026086957,0.003809524,0.06557377,0.06557377,Macula.SCs
BX901920.1,0,0.008253968,0,0.008253968,HCs
vgll2a,0,0,0,0,Crista.SCs
rngtt,0.147826087,0.189206349,0.155737705,0.189206349,HCs
mdn1,0.060869565,0.076825397,0.032786885,0.076825397,HCs
rfx6,0,0.000634921,0,0.000634921,HCs
rwdd2b,0.026086957,0.026031746,0.016393443,0.026086957,Crista.SCs
aasdh,0,0.006984127,0,0.006984127,HCs
smek1,0.052173913,0.085079365,0.024590164,0.085079365,HCs
syncrip,0.173913043,0.206349206,0.114754098,0.206349206,HCs
tnfaip2a,0,0.005714286,0.016393443,0.016393443,Macula.SCs
erh,0.069565217,0.162539683,0.032786885,0.162539683,HCs
si:dkeyp-93d12.1,0,0.008253968,0,0.008253968,HCs
CRACD,0.12173913,0.37968254,0.286885246,0.37968254,HCs
si:ch211-242b18.1,0.026086957,0.083174603,0.040983607,0.083174603,HCs
si:ch211-121a2.2,0,0.003174603,0,0.003174603,HCs
rps7,0.32173913,0.452063492,0.336065574,0.452063492,HCs
igf2r,0.07826087,0.182222222,0.06557377,0.182222222,HCs
paplnb,0,0.000634921,0,0.000634921,HCs
eif5,0.173913043,0.277460317,0.114754098,0.277460317,HCs
CR352243.2,0,0,0,0,Crista.SCs
cep135,0,0.012063492,0.032786885,0.032786885,Macula.SCs
serpinb1l2,0.008695652,0.005714286,0,0.008695652,Crista.SCs
suco,0.391304348,0.365079365,0.303278689,0.391304348,Crista.SCs
ftr85,0,0.003809524,0.008196721,0.008196721,Macula.SCs
AL928866.1,0,0,0,0,Crista.SCs
rnaseh1,0.017391304,0.03047619,0.008196721,0.03047619,HCs
si:dkey-65b13.13,0,0,0,0,Crista.SCs
ftr97.1,0.008695652,0.001904762,0,0.008695652,Crista.SCs
ftr79,0.008695652,0.003809524,0,0.008695652,Crista.SCs
