Gene,Amacrine_spec,Bipolar_spec,Cone_spec,Cornea_spec,Horizontal_spec,Muller Glia_spec,RGC_spec,Rod_spec,RPE_spec,Microglia_spec
ggact.1,0.976470588,0.976470588,0.976470588,0.976470588,0.976470588,0.976470588,0.976470588,0.976470588,0.976470588,0.981069959
gpc6a,0.824228029,0.824228029,0.824228029,0.824228029,0.824228029,0.824228029,0.892185822,0.824228029,0.824228029,0.824228029
gpc5a,0.956586826,0.956586826,0.956586826,0.956586826,0.956586826,0.956586826,0.956586826,0.956586826,0.979919679,0.956586826
dre-mir-92a-1,0.9999329,1.0,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329
CABZ01113467.1,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.999671377
slitrk6,0.939641109,0.939641109,0.939641109,0.939641109,0.952304222,0.939641109,0.939641109,0.939641109,0.939641109,0.939641109
FP009765.1,0.998661312,0.998661312,0.998661312,0.999731472,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312
FO744838.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spry2,0.5555555560000001,0.5555555560000001,0.5555555560000001,0.5555555560000001,0.5555555560000001,0.832663989,0.5555555560000001,0.5555555560000001,0.5555555560000001,0.5555555560000001
ndfip2,0.574850299,0.574850299,0.574850299,0.574850299,0.574850299,0.574850299,0.574850299,0.574850299,0.591448931,0.574850299
tuba8l2,0.567603748,0.567603748,0.567603748,0.6058823529999999,0.567603748,0.567603748,0.567603748,0.567603748,0.567603748,0.567603748
stk16,0.942992874,0.942992874,0.942992874,0.942992874,0.942992874,0.942992874,0.947058824,0.942992874,0.942992874,0.942992874
atic,0.933065596,0.933065596,0.933065596,0.982035928,0.933065596,0.933065596,0.933065596,0.933065596,0.933065596,0.933065596
fn1b,0.896921017,0.896921017,0.896921017,0.980538922,0.896921017,0.896921017,0.896921017,0.896921017,0.896921017,0.896921017
nrp2a,0.864608076,0.864608076,0.864608076,0.864608076,0.864608076,0.864608076,0.90227577,0.864608076,0.864608076,0.864608076
pard3ba,0.919341564,0.916532388,0.916532388,0.916532388,0.916532388,0.916532388,0.916532388,0.916532388,0.916532388,0.916532388
pard3ba.1,0.988477366,0.988477366,0.988477366,0.988477366,0.988477366,0.998356885,0.988477366,0.988477366,0.988477366,0.988477366
abcb6a,0.968780808,0.968780808,0.970704671,0.968780808,0.968780808,0.968780808,0.968780808,0.968780808,0.968780808,0.968780808
cnppd1,0.770588235,0.770588235,0.770588235,0.770588235,0.770588235,0.770588235,0.770588235,0.770588235,0.770588235,0.826347305
prkag3a,0.969912906,0.969912906,0.969912906,0.969912906,0.969912906,0.969912906,0.973896229,0.969912906,0.969912906,0.969912906
retreg2,0.89469517,0.89469517,0.89469517,0.89469517,0.89469517,0.89469517,0.90469931,0.89469517,0.89469517,0.89469517
mdh1b,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.999355462,0.998502994
fastkd2,0.946452477,0.946452477,0.946452477,0.947058824,0.946452477,0.946452477,0.946452477,0.946452477,0.946452477,0.946452477
gtf3c3,0.934283452,0.934283452,0.934283452,0.934283452,0.934283452,0.934283452,0.947058824,0.934283452,0.934283452,0.934283452
LO018629.1,0.992874109,0.992874109,0.992874109,0.992874109,0.992874109,0.992874109,0.993166287,0.992874109,0.992874109,0.992874109
hecw2b,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.990498812
klf7a,0.730007918,0.730007918,0.730007918,0.730007918,0.730007918,0.730007918,0.918143732,0.730007918,0.730007918,0.730007918
si:ch211-93g23.2,0.998661312,0.998661312,0.998661312,0.999671377,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312
ube2f,0.841176471,0.841176471,0.841176471,0.841176471,0.841176471,0.841176471,0.841176471,0.841176471,0.841176471,0.859281437
AL929396.1,0.992082344,0.992082344,0.992082344,0.992082344,0.992082344,0.992082344,0.997722096,0.992082344,0.992082344,0.992082344
erbb4a,0.992874109,0.992874109,0.992874109,0.992874109,0.992874109,0.992874109,0.996643394,0.992874109,0.992874109,0.992874109
ERBB4,0.976705156,0.981952949,0.976705156,0.976705156,0.976705156,0.976705156,0.976705156,0.976705156,0.976705156,0.976705156
lancl1,0.855898654,0.855898654,0.855898654,0.855898654,0.855898654,0.855898654,0.8859168550000001,0.855898654,0.855898654,0.855898654
mylz3,0.990498812,0.990498812,0.990498812,0.990498812,0.990498812,0.990498812,0.994011976,0.990498812,0.990498812,0.990498812
pcnp,0.78226445,0.78226445,0.78226445,0.78226445,0.78226445,0.78226445,0.7964071859999999,0.78226445,0.78226445,0.78226445
mxa,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.997005988
mxb,0.99959217,0.99959217,0.99959217,0.99959217,0.999677731,0.99959217,0.99959217,0.99959217,0.99959217,0.99959217
efnb2b,0.949326999,0.931356752,0.931356752,0.931356752,0.931356752,0.931356752,0.931356752,0.931356752,0.931356752,0.931356752
arglu1b,0.660332542,0.660332542,0.660332542,0.660332542,0.660332542,0.660332542,0.6891225759999999,0.660332542,0.660332542,0.660332542
en1b,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.99959217,0.999208234,0.999208234,0.999208234
BX908756.3,0.96257485,0.96257485,0.96257485,0.96257485,0.96257485,0.96257485,0.96257485,0.96257485,0.998685508,0.96257485
radil,0.866766467,0.866766467,0.866766467,0.866766467,0.866766467,0.866766467,0.866766467,0.866766467,0.932303648,0.866766467
mmd2b,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997530864,0.997005988
CR855320.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CR855320.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CR855320.6,0.9999329,1.0,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329
CR855320.1,0.988915281,0.988915281,0.988915281,0.988915281,0.988915281,0.988915281,0.992265549,0.988915281,0.988915281,0.988915281
si:dkey-79f11.7,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.999865736,0.998502994
si:dkey-79f11.5,0.9999329,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462
CR855320.3,0.996643394,0.995488237,0.995488237,0.995488237,0.995488237,0.995488237,0.995488237,0.995488237,0.995488237,0.995488237
si:dkeyp-9d4.2,0.970588235,0.970588235,0.970588235,0.970588235,0.970588235,0.970588235,0.970588235,0.970588235,0.970588235,0.982597486
si:dkeyp-9d4.3,0.714172605,0.643893007,0.643893007,0.643893007,0.643893007,0.643893007,0.643893007,0.643893007,0.643893007,0.643893007
SLC5A10,0.999184339,0.999184339,0.999184339,0.999184339,0.999671377,0.999184339,0.999184339,0.999184339,0.999184339,0.999184339
FAM83G,0.758823529,0.758823529,0.758823529,0.758823529,0.758823529,0.758823529,0.758823529,0.758823529,0.758823529,0.911646586
grapb,0.985748219,0.971318079,0.971318079,0.971318079,0.971318079,0.971318079,0.971318079,0.971318079,0.971318079,0.971318079
cacna1hb,0.986539984,0.986539984,0.986539984,0.986539984,0.986539984,0.986539984,0.9948437,0.986539984,0.986539984,0.986539984
syngr3b,0.642121932,0.642121932,0.642121932,0.642121932,0.642121932,0.642121932,0.7950370609999999,0.642121932,0.642121932,0.642121932
myo15ab,0.9999329,1.0,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329
AL928835.1,0.998416469,0.998066387,0.998066387,0.998066387,0.998066387,0.998066387,0.998066387,0.998066387,0.998066387,0.998066387
alkbh5,0.933491686,0.933491686,0.933491686,0.933491686,0.933491686,0.933491686,0.950468541,0.933491686,0.933491686,0.933491686
mief2,0.978580991,0.978580991,0.978580991,0.983532934,0.978580991,0.978580991,0.978580991,0.978580991,0.978580991,0.978580991
smcr8b,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.964705882,0.97005988
zgc:112980,0.965568862,0.965568862,0.965568862,0.965568862,0.965568862,0.965568862,0.965568862,0.965568862,0.981776765,0.965568862
ptcd1,0.905882353,0.905882353,0.905882353,0.905882353,0.905882353,0.905882353,0.905882353,0.905882353,0.905882353,0.927157561
AL928650.2,0.999671377,0.999671377,0.9999329,0.999671377,0.999671377,0.999671377,0.999671377,0.999671377,0.999671377,0.999671377
AL928650.4,0.962479608,0.962479608,0.962479608,0.962479608,0.994117647,0.962479608,0.962479608,0.962479608,0.962479608,0.962479608
AL928650.3,0.997624703,0.997624703,0.997624703,0.997624703,0.997624703,0.997624703,0.998502994,0.997624703,0.997624703,0.997624703
si:ch211-160d14.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC29A4,0.989707047,0.986142443,0.986142443,0.986142443,0.986142443,0.986142443,0.986142443,0.986142443,0.986142443,0.986142443
AL928650.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fbxl18,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.991769547,0.986526946
actb1,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.07647058799999995,0.273251029
fscn1b,0.937450515,0.937450515,0.937450515,0.937450515,0.937450515,0.937450515,0.987431518,0.937450515,0.937450515,0.937450515
abcg2b,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.998502994,0.999208234,0.998502994
C3H16orf72.1,0.547058824,0.547058824,0.547058824,0.547058824,0.547058824,0.547058824,0.547058824,0.547058824,0.547058824,0.628742515
grin2ab,0.5874901029999999,0.5874901029999999,0.5874901029999999,0.5874901029999999,0.5874901029999999,0.5874901029999999,0.864002578,0.5874901029999999,0.5874901029999999,0.5874901029999999
CT573178.1,0.999176955,0.999176955,0.999176955,0.999176955,0.999176955,0.999865736,0.999176955,0.999176955,0.999176955,0.999176955
socs1b,0.998416469,0.998416469,0.998416469,0.998416469,0.998416469,0.998416469,0.999355462,0.998416469,0.998416469,0.998416469
CU467110.1,0.976954733,0.976954733,0.976954733,0.976954733,0.976954733,0.97754491,0.976954733,0.976954733,0.976954733,0.976954733
si:ch73-191k20.3,0.98502994,0.98502994,0.98502994,0.98502994,0.98502994,0.98502994,0.98502994,0.98502994,0.988235294,0.98502994
tlr2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prkcba,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.93824228
BX004779.3,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999355462,0.999208234,0.999208234,0.999208234
cacng3a,0.8601141919999999,0.8601141919999999,0.8601141919999999,0.8601141919999999,0.994117647,0.8601141919999999,0.8601141919999999,0.8601141919999999,0.8601141919999999,0.8601141919999999
si:ch211-14k19.8,0.990629183,0.990629183,0.990629183,0.991784423,0.990629183,0.990629183,0.990629183,0.990629183,0.990629183,0.990629183
vap.1,0.997722096,0.997722096,0.997722096,0.997722096,0.997722096,0.997722096,0.997722096,0.998661312,0.997722096,0.997722096
ndufab1a,0.669076569,0.669076569,0.678143713,0.669076569,0.669076569,0.669076569,0.669076569,0.669076569,0.669076569,0.669076569
palb2,0.995508982,0.995508982,0.995508982,0.995508982,0.995508982,0.995508982,0.995508982,0.995508982,0.997322624,0.995508982
rasd3,0.995249406,0.995249406,0.995249406,0.995249406,0.995249406,0.995249406,0.996132775,0.995249406,0.995249406,0.995249406
plk1,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.986526946,0.988235294,0.986526946
BX004779.2,0.99959217,0.99959217,0.99959217,0.99959217,0.999671377,0.99959217,0.99959217,0.99959217,0.99959217,0.99959217
ern2,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.992770292
BX004779.1,0.998416469,0.998416469,0.998416469,0.998416469,0.998416469,0.998416469,0.998502994,0.998416469,0.998416469,0.998416469
chtf18,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.986707841,0.983532934
gng13a,0.989484062,0.989484062,0.998502994,0.989484062,0.989484062,0.989484062,0.989484062,0.989484062,0.989484062,0.989484062
si:dkeyp-57d7.4,0.7292145910000001,0.7292145910000001,0.981776765,0.7292145910000001,0.7292145910000001,0.7292145910000001,0.7292145910000001,0.7292145910000001,0.7292145910000001,0.7292145910000001
zgc:136472,0.9999329,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731,0.999677731
ubn1,0.997530864,0.992587818,0.992587818,0.992587818,0.992587818,0.992587818,0.992587818,0.992587818,0.992587818,0.992587818
uncx4.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AL954703.1,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997005988,0.997322624,0.997005988
micall2b,0.982597055,0.982597055,0.982597055,0.994117647,0.982597055,0.982597055,0.982597055,0.982597055,0.982597055,0.982597055
si:ch73-12o23.1,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.976047904
elfn1b,0.927157561,0.927157561,0.927157561,0.927157561,0.927157561,0.927157561,0.948205546,0.927157561,0.927157561,0.927157561
ugt5b5,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.99959217
ugt5b2,0.876470588,0.876470588,0.876470588,0.876470588,0.876470588,0.876470588,0.876470588,0.876470588,0.876470588,0.977242303
ugt5b4,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.917647059,0.98502994
ugt5b2.1,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.982352941,0.99959217
ugt5b1,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.994645248
mad1l1,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.956378601
pmm2,0.935294118,0.935294118,0.935294118,0.935294118,0.935294118,0.935294118,0.935294118,0.935294118,0.935294118,0.97005988
C1H7orf26,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.988235294,0.989520958
rgs11,0.810768013,0.810768013,0.810768013,0.810768013,0.810768013,0.810768013,0.859490815,0.810768013,0.810768013,0.810768013
pgap6,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.983532934,0.988235294,0.983532934
pdia2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
si:dkeyp-75b4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
si:dkeyp-75b4.7,0.998661312,0.998661312,0.998661312,0.999176955,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312,0.998661312
si:dkeyp-75b4.10,0.999798604,1.0,0.999798604,0.999798604,0.999798604,0.999798604,0.999798604,0.999798604,0.999798604,0.999798604
trim2b,0.862232779,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001,0.8527231710000001
rnf175,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.7829341320000001,0.86935867,0.7829341320000001
fgb,0.99959217,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462,0.999355462
si:ch73-132f6.5,0.938622754,0.938622754,0.938622754,0.938622754,0.938622754,0.938622754,0.938622754,0.938622754,0.987654321,0.938622754
